id,name,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_legendary
49,Venomoth,bug,poison,15,125,70,65,60,90,75,90,450,False
50,Diglett,ground,None,2,8,10,55,25,35,45,95,265,False
51,Dugtrio,ground,None,7,333,35,100,50,50,70,120,425,False
52,Meowth,normal,None,4,42,40,45,35,40,40,90,290,False
53,Persian,normal,None,10,320,65,70,60,65,65,115,440,False
54,Psyduck,water,None,8,196,50,52,48,65,50,55,320,False
55,Golduck,water,None,17,766,80,82,78,95,80,85,500,False
56,Mankey,fighting,None,5,280,40,80,35,35,45,70,305,False
57,Primeape,fighting,None,10,320,65,105,60,60,70,95,455,False
58,Growlithe,fire,None,7,190,55,70,45,70,50,60,350,False
59,Arcanine,fire,None,19,1550,90,110,80,100,80,95,555,False
60,Poliwag,water,None,6,124,40,50,40,40,40,90,300,False
61,Poliwhirl,water,None,10,200,65,65,65,50,50,90,385,False
62,Poliwrath,water,fighting,13,540,90,95,95,70,90,70,510,False
63,Abra,psychic,None,9,195,25,20,15,105,55,90,310,False
64,Kadabra,psychic,None,13,565,40,35,30,120,70,105,400,False
65,Alakazam,psychic,None,15,480,55,50,45,135,95,120,500,False
66,Machop,fighting,None,8,195,70,80,50,35,35,35,305,False
67,Machoke,fighting,None,15,705,80,100,70,50,60,45,405,False
68,Machamp,fighting,None,16,1300,90,130,80,65,85,55,505,False
69,Bellsprout,grass,poison,7,40,50,75,35,70,30,40,300,False
70,Weepinbell,grass,poison,10,64,65,90,50,85,45,55,390,False
71,Victreebel,grass,poison,17,155,80,105,65,100,70,70,490,False
72,Tentacool,water,poison,9,455,40,40,35,50,100,70,335,False
73,Tentacruel,water,poison,16,550,80,70,65,80,120,100,515,False
74,Geodude,rock,ground,4,200,40,80,100,30,30,20,300,False
75,Graveler,rock,ground,10,1050,55,95,115,45,45,35,390,False
76,Golem,rock,ground,14,3000,80,120,130,55,65,45,495,False
77,Ponyta,fire,None,10,300,50,85,55,65,65,90,410,False
78,Rapidash,fire,None,17,950,65,100,70,80,80,105,500,False
79,Slowpoke,water,psychic,12,360,90,65,65,40,40,15,315,False
80,Slowbro,water,psychic,16,785,95,75,110,100,80,30,490,False
81,Magnemite,electric,steel,3,60,25,35,70,95,55,45,325,False
82,Magneton,electric,steel,10,600,50,60,95,120,70,70,465,False
83,Farfetchd,normal,flying,8,150,52,90,55,58,62,60,377,False
84,Doduo,normal,flying,14,392,35,85,45,35,35,75,310,False
85,Dodrio,normal,flying,18,852,60,110,70,60,60,110,470,False
86,Seel,water,None,11,900,65,45,55,45,70,45,325,False
87,Dewgong,water,ice,17,1200,90,70,80,70,95,70,475,False
88,Grimer,poison,None,9,300,80,80,50,40,50,25,325,False
89,Muk,poison,None,12,300,105,105,75,65,100,50,500,False
90,Shellder,water,None,3,40,30,65,100,45,25,40,305,False
91,Cloyster,water,ice,15,1325,50,95,180,85,45,70,525,False
92,Gastly,ghost,poison,13,1,30,35,30,100,35,80,310,False
93,Haunter,ghost,poison,16,1,45,50,45,115,55,95,405,False
94,Gengar,ghost,poison,15,405,60,65,60,130,75,110,500,False
95,Onix,rock,ground,88,2100,35,45,160,30,45,70,385,False
96,Drowzee,psychic,None,10,324,60,48,45,43,90,42,328,False
97,Hypno,psychic,None,16,756,85,73,70,73,115,67,483,False
98,Krabby,water,None,4,65,30,105,90,25,25,50,325,False
99,Kingler,water,None,13,600,55,130,115,50,50,75,475,False
100,Voltorb,electric,None,5,104,40,30,50,55,55,100,330,False
101,Electrode,electric,None,12,666,60,50,70,80,80,150,490,False
102,Exeggcute,grass,psychic,4,25,60,40,80,60,45,40,325,False
103,Exeggutor,grass,psychic,20,1200,95,95,85,125,75,55,530,False
104,Cubone,ground,None,4,65,50,50,95,40,50,35,320,False
105,Marowak,ground,None,10,450,60,80,110,50,80,45,425,False
106,Hitmonlee,fighting,None,15,498,50,120,53,35,110,87,455,False
107,Hitmonchan,fighting,None,14,502,50,105,79,35,110,76,455,False
108,Lickitung,normal,None,12,655,90,55,75,60,75,30,385,False
109,Koffing,poison,None,6,10,40,65,95,60,45,35,340,False
110,Weezing,poison,None,12,95,65,90,120,85,70,60,490,False
111,Rhyhorn,ground,rock,10,1150,80,85,95,30,30,25,345,False
112,Rhydon,ground,rock,19,1200,105,130,120,45,45,40,485,False
113,Chansey,normal,None,11,346,250,5,5,35,105,50,450,False
114,Tangela,grass,None,10,350,65,55,115,100,40,60,435,False
115,Kangaskhan,normal,None,22,800,105,95,80,40,80,90,490,False
116,Horsea,water,None,4,80,30,40,70,70,25,60,295,False
117,Seadra,water,None,12,250,55,65,95,95,45,85,440,False
118,Goldeen,water,None,6,150,45,67,60,35,50,63,320,False
119,Seaking,water,None,13,390,80,92,65,65,80,68,450,False
120,Staryu,water,None,8,345,30,45,55,70,55,85,340,False
121,Starmie,water,psychic,11,800,60,75,85,100,85,115,520,False
122,Mr-Mime,psychic,fairy,13,545,40,45,65,100,120,90,460,False
123,Scyther,bug,flying,15,560,70,110,80,55,80,105,500,False
124,Jynx,ice,psychic,14,406,65,50,35,115,95,95,455,False
125,Electabuzz,electric,None,11,300,65,83,57,95,85,105,490,False
126,Magmar,fire,None,13,445,65,95,57,100,85,93,495,False
127,Pinsir,bug,None,15,550,65,125,100,55,70,85,500,False
128,Tauros,normal,None,14,884,75,100,95,40,70,110,490,False
129,Magikarp,water,None,9,100,20,10,55,15,20,80,200,False
130,Gyarados,water,flying,65,2350,95,125,79,60,100,81,540,False
131,Lapras,water,ice,25,2200,130,85,80,85,95,60,535,False
132,Ditto,normal,None,3,40,48,48,48,48,48,48,288,False
133,Eevee,normal,None,3,65,55,55,50,45,65,55,325,False
134,Vaporeon,water,None,10,290,130,65,60,110,95,65,525,False
135,Jolteon,electric,None,8,245,65,65,60,110,95,130,525,False
136,Flareon,fire,None,9,250,65,130,60,95,110,65,525,False
137,Porygon,normal,None,8,365,65,60,70,85,75,40,395,False
138,Omanyte,rock,water,4,75,35,40,100,90,55,35,355,False
139,Omastar,rock,water,10,350,70,60,125,115,70,55,495,False
140,Kabuto,rock,water,5,115,30,80,90,55,45,55,355,False
141,Kabutops,rock,water,13,405,60,115,105,65,70,80,495,False
142,Aerodactyl,rock,flying,18,590,80,105,65,60,75,130,515,False
143,Snorlax,normal,None,21,4600,160,110,65,65,110,30,540,False
144,Articuno,ice,flying,17,554,90,85,100,95,125,85,580,True
145,Zapdos,electric,flying,16,526,90,90,85,125,90,100,580,True
146,Moltres,fire,flying,20,600,90,100,90,125,85,90,580,True
147,Dratini,dragon,None,18,33,41,64,45,50,50,50,300,False
148,Dragonair,dragon,None,40,165,61,84,65,70,70,70,420,False
149,Dragonite,dragon,flying,22,2100,91,134,95,100,100,80,600,False
150,Mewtwo,psychic,None,20,1220,106,110,90,154,90,130,680,True
151,Mew,psychic,None,4,40,100,100,100,100,100,100,600,True
152,Chikorita,grass,None,9,64,45,49,65,49,65,45,318,False
153,Bayleef,grass,None,12,158,60,62,80,63,80,60,405,False
154,Meganium,grass,None,18,1005,80,82,100,83,100,80,525,False
155,Cyndaquil,fire,None,5,79,39,52,43,60,50,65,309,False
156,Quilava,fire,None,9,190,58,64,58,80,65,80,405,False
157,Typhlosion,fire,None,17,795,78,84,78,109,85,100,534,False
158,Totodile,water,None,6,95,50,65,64,44,48,43,314,False
159,Croconaw,water,None,11,250,65,80,80,59,63,58,405,False
160,Feraligatr,water,None,23,888,85,105,100,79,83,78,530,False
161,Sentret,normal,None,8,60,35,46,34,35,45,20,215,False
162,Furret,normal,None,18,325,85,76,64,45,55,90,415,False
163,Hoothoot,normal,flying,7,212,60,30,30,36,56,50,262,False
164,Noctowl,normal,flying,16,408,100,50,50,86,96,70,452,False
165,Ledyba,bug,flying,10,108,40,20,30,40,80,55,265,False
166,Ledian,bug,flying,14,356,55,35,50,55,110,85,390,False
167,Spinarak,bug,poison,5,85,40,60,40,40,40,30,250,False
168,Ariados,bug,poison,11,335,70,90,70,60,70,40,400,False
169,Crobat,poison,flying,18,750,85,90,80,70,80,130,535,False
170,Chinchou,water,electric,5,120,75,38,38,56,56,67,330,False
171,Lanturn,water,electric,12,225,125,58,58,76,76,67,460,False
172,Pichu,electric,None,3,20,20,40,15,35,35,60,205,False
173,Cleffa,fairy,None,3,30,50,25,28,45,55,15,218,False
174,Igglybuff,normal,fairy,3,10,90,30,15,40,20,15,210,False
175,Togepi,fairy,None,3,15,35,20,65,40,65,20,245,False
176,Togetic,fairy,flying,6,32,55,40,85,80,105,40,405,False
177,Natu,psychic,flying,2,20,40,50,45,70,45,70,320,False
178,Xatu,psychic,flying,15,150,65,75,70,95,70,95,470,False
179,Mareep,electric,None,6,78,55,40,40,65,45,35,280,False
180,Flaaffy,electric,None,8,133,70,55,55,80,60,45,365,False
181,Ampharos,electric,None,14,615,90,75,85,115,90,55,510,False
182,Bellossom,grass,None,4,58,75,80,95,90,100,50,490,False
183,Marill,water,fairy,4,85,70,20,50,20,50,40,250,False
184,Azumarill,water,fairy,8,285,100,50,80,60,80,50,420,False
185,Sudowoodo,rock,None,12,380,70,100,115,30,65,30,410,False
186,Politoed,water,None,11,339,90,75,75,90,100,70,500,False
187,Hoppip,grass,flying,4,5,35,35,40,35,55,50,250,False
188,Skiploom,grass,flying,6,10,55,45,50,45,65,80,340,False
189,Jumpluff,grass,flying,8,30,75,55,70,55,95,110,460,False
190,Aipom,normal,None,8,115,55,70,55,40,55,85,360,False
191,Sunkern,grass,None,3,18,30,30,30,30,30,30,180,False
192,Sunflora,grass,None,8,85,75,75,55,105,85,30,425,False
193,Yanma,bug,flying,12,380,65,65,45,75,45,95,390,False
194,Wooper,water,ground,4,85,55,45,45,25,25,15,210,False
195,Quagsire,water,ground,14,750,95,85,85,65,65,35,430,False
196,Espeon,psychic,None,9,265,65,65,60,130,95,110,525,False
197,Umbreon,dark,None,10,270,95,65,110,60,130,65,525,False
198,Murkrow,dark,flying,5,21,60,85,42,85,42,91,405,False
199,Slowking,water,psychic,20,795,95,75,80,100,110,30,490,False
200,Misdreavus,ghost,None,7,10,60,60,60,85,85,85,435,False
201,Unown,psychic,None,5,50,48,72,48,72,48,48,336,False
202,Wobbuffet,psychic,None,13,285,190,33,58,33,58,33,405,False
203,Girafarig,normal,psychic,15,415,70,80,65,90,65,85,455,False
204,Pineco,bug,None,6,72,50,65,90,35,35,15,290,False
205,Forretress,bug,steel,12,1258,75,90,140,60,60,40,465,False
206,Dunsparce,normal,None,15,140,100,70,70,65,65,45,415,False
207,Gligar,ground,flying,11,648,65,75,105,35,65,85,430,False
208,Steelix,steel,ground,92,4000,75,85,200,55,65,30,510,False
209,Snubbull,fairy,None,6,78,60,80,50,40,40,30,300,False
210,Granbull,fairy,None,14,487,90,120,75,60,60,45,450,False
211,Qwilfish,water,poison,5,39,65,95,85,55,55,85,440,False
212,Scizor,bug,steel,18,1180,70,130,100,55,80,65,500,False
213,Shuckle,bug,rock,6,205,20,10,230,10,230,5,505,False
214,Heracross,bug,fighting,15,540,80,125,75,40,95,85,500,False
215,Sneasel,dark,ice,9,280,55,95,55,35,75,115,430,False
216,Teddiursa,normal,None,6,88,60,80,50,50,50,40,330,False
217,Ursaring,normal,None,18,1258,90,130,75,75,75,55,500,False
218,Slugma,fire,None,7,350,40,40,40,70,40,20,250,False
219,Magcargo,fire,rock,8,550,60,50,120,90,80,30,430,False
220,Swinub,ice,ground,4,65,50,50,40,30,30,50,250,False
221,Piloswine,ice,ground,11,558,100,100,80,60,60,50,450,False
222,Corsola,water,rock,6,50,65,55,95,65,95,35,410,False
223,Remoraid,water,None,6,120,35,65,35,65,35,65,300,False
224,Octillery,water,None,9,285,75,105,75,105,75,45,480,False
225,Delibird,ice,flying,9,160,45,55,45,65,45,75,330,False
226,Mantine,water,flying,21,2200,85,40,70,80,140,70,485,False
227,Skarmory,steel,flying,17,505,65,80,140,40,70,70,465,False
228,Houndour,dark,fire,6,108,45,60,30,80,50,65,330,False
229,Houndoom,dark,fire,14,350,75,90,50,110,80,95,500,False
230,Kingdra,water,dragon,18,1520,75,95,95,95,95,85,540,False
231,Phanpy,ground,None,5,335,90,60,60,40,40,40,330,False
232,Donphan,ground,None,11,1200,90,120,120,60,60,50,500,False
233,Porygon2,normal,None,6,325,85,80,90,105,95,60,515,False
234,Stantler,normal,None,14,712,73,95,62,85,65,85,465,False
235,Smeargle,normal,None,12,580,55,20,35,20,45,75,250,False
236,Tyrogue,fighting,None,7,210,35,35,35,35,35,35,210,False
237,Hitmontop,fighting,None,14,480,50,95,95,35,110,70,455,False
238,Smoochum,ice,psychic,4,60,45,30,15,85,65,65,305,False
239,Elekid,electric,None,6,235,45,63,37,65,55,95,360,False
240,Magby,fire,None,7,214,45,75,37,70,55,83,365,False
241,Miltank,normal,None,12,755,95,80,105,40,70,100,490,False
242,Blissey,normal,None,15,468,255,10,10,75,135,55,540,False
243,Raikou,electric,None,19,1780,90,85,75,115,100,115,580,True
244,Entei,fire,None,21,1980,115,115,85,90,75,100,580,True
245,Suicune,water,None,20,1870,100,75,115,90,115,85,580,True
246,Larvitar,rock,ground,6,720,50,64,50,45,50,41,300,False
247,Pupitar,rock,ground,12,1520,70,84,70,65,70,51,410,False
248,Tyranitar,rock,dark,20,2020,100,134,110,95,100,61,600,False
249,Lugia,psychic,flying,52,2160,106,90,130,90,154,110,680,True
250,Ho-Oh,fire,flying,38,1990,106,130,90,110,154,90,680,True
251,Celebi,psychic,grass,6,50,100,100,100,100,100,100,600,True
252,Treecko,grass,None,5,50,40,45,35,65,55,70,310,False
253,Grovyle,grass,None,9,216,50,65,45,85,65,95,405,False
254,Sceptile,grass,None,17,522,70,85,65,105,85,120,530,False
255,Torchic,fire,None,4,25,45,60,40,70,50,45,310,False
256,Combusken,fire,fighting,9,195,60,85,60,85,60,55,405,False
257,Blaziken,fire,fighting,19,520,80,120,70,110,70,80,530,False
258,Mudkip,water,None,4,76,50,70,50,50,50,40,310,False
259,Marshtomp,water,ground,7,280,70,85,70,60,70,50,405,False
260,Swampert,water,ground,15,819,100,110,90,85,90,60,535,False
261,Poochyena,dark,None,5,136,35,55,35,30,30,35,220,False
262,Mightyena,dark,None,10,370,70,90,70,60,60,70,420,False
263,Zigzagoon,normal,None,4,175,38,30,41,30,41,60,240,False
264,Linoone,normal,None,5,325,78,70,61,50,61,100,420,False
265,Wurmple,bug,None,3,36,45,45,35,20,30,20,195,False
266,Silcoon,bug,None,6,100,50,35,55,25,25,15,205,False
267,Beautifly,bug,flying,10,284,60,70,50,100,50,65,395,False
268,Cascoon,bug,None,7,115,50,35,55,25,25,15,205,False
269,Dustox,bug,poison,12,316,60,50,70,50,90,65,385,False
270,Lotad,water,grass,5,26,40,30,30,40,50,30,220,False
271,Lombre,water,grass,12,325,60,50,50,60,70,50,340,False
272,Ludicolo,water,grass,15,550,80,70,70,90,100,70,480,False
273,Seedot,grass,None,5,40,40,40,50,30,30,30,220,False
274,Nuzleaf,grass,dark,10,280,70,70,40,60,40,60,340,False
275,Shiftry,grass,dark,13,596,90,100,60,90,60,80,480,False
276,Taillow,normal,flying,3,23,40,55,30,30,30,85,270,False
277,Swellow,normal,flying,7,198,60,85,60,75,50,125,455,False
278,Wingull,water,flying,6,95,40,30,30,55,30,85,270,False
279,Pelipper,water,flying,12,280,60,50,100,95,70,65,440,False
280,Ralts,psychic,fairy,4,66,28,25,25,45,35,40,198,False
281,Kirlia,psychic,fairy,8,202,38,35,35,65,55,50,278,False
282,Gardevoir,psychic,fairy,16,484,68,65,65,125,115,80,518,False
283,Surskit,bug,water,5,17,40,30,32,50,52,65,269,False
284,Masquerain,bug,flying,8,36,70,60,62,100,82,80,454,False
285,Shroomish,grass,None,4,45,60,40,60,40,60,35,295,False
286,Breloom,grass,fighting,12,392,60,130,80,60,60,70,460,False
287,Slakoth,normal,None,8,240,60,60,60,35,35,30,280,False
288,Vigoroth,normal,None,14,465,80,80,80,55,55,90,440,False
289,Slaking,normal,None,20,1305,150,160,100,95,65,100,670,False
290,Nincada,bug,ground,5,55,31,45,90,30,30,40,266,False
291,Ninjask,bug,flying,8,120,61,90,45,50,50,160,456,False
292,Shedinja,bug,ghost,8,12,1,90,45,30,30,40,236,False
293,Whismur,normal,None,6,163,64,51,23,51,23,28,240,False
294,Loudred,normal,None,10,405,84,71,43,71,43,48,360,False
295,Exploud,normal,None,15,840,104,91,63,91,73,68,490,False
296,Makuhita,fighting,None,10,864,72,60,30,20,30,25,237,False
297,Hariyama,fighting,None,23,2538,144,120,60,40,60,50,474,False
298,Azurill,normal,fairy,2,20,50,20,40,20,40,20,190,False
299,Nosepass,rock,None,10,970,30,45,135,45,90,30,375,False
300,Skitty,normal,None,6,110,50,45,45,35,35,50,260,False
301,Delcatty,normal,None,11,326,70,65,65,55,55,90,400,False
302,Sableye,dark,ghost,5,110,50,75,75,65,65,50,380,False
303,Mawile,steel,fairy,6,115,50,85,85,55,55,50,380,False
304,Aron,steel,rock,4,600,50,70,100,40,40,30,330,False
305,Lairon,steel,rock,9,1200,60,90,140,50,50,40,430,False
306,Aggron,steel,rock,21,3600,70,110,180,60,60,50,530,False
307,Meditite,fighting,psychic,6,112,30,40,55,40,55,60,280,False
308,Medicham,fighting,psychic,13,315,60,60,75,60,75,80,410,False
309,Electrike,electric,None,6,152,40,45,40,65,40,65,295,False
310,Manectric,electric,None,15,402,70,75,60,105,60,105,475,False
311,Plusle,electric,None,4,42,60,50,40,85,75,95,405,False
312,Minun,electric,None,4,42,60,40,50,75,85,95,405,False
313,Volbeat,bug,None,7,177,65,73,75,47,85,85,430,False
314,Illumise,bug,None,6,177,65,47,75,73,85,85,430,False
315,Roselia,grass,poison,3,20,50,60,45,100,80,65,400,False
316,Gulpin,poison,None,4,103,70,43,53,43,53,40,302,False
317,Swalot,poison,None,17,800,100,73,83,73,83,55,467,False
318,Carvanha,water,dark,8,208,45,90,20,65,20,65,305,False
319,Sharpedo,water,dark,18,888,70,120,40,95,40,95,460,False
320,Wailmer,water,None,20,1300,130,70,35,70,35,60,400,False
321,Wailord,water,None,145,3980,170,90,45,90,45,60,500,False
322,Numel,fire,ground,7,240,60,60,40,65,45,35,305,False
323,Camerupt,fire,ground,19,2200,70,100,70,105,75,40,460,False
324,Torkoal,fire,None,5,804,70,85,140,85,70,20,470,False
325,Spoink,psychic,None,7,306,60,25,35,70,80,60,330,False
326,Grumpig,psychic,None,9,715,80,45,65,90,110,80,470,False
327,Spinda,normal,None,11,50,60,60,60,60,60,60,360,False
328,Trapinch,ground,None,7,150,45,100,45,45,45,10,290,False
329,Vibrava,ground,dragon,11,153,50,70,50,50,50,70,340,False
330,Flygon,ground,dragon,20,820,80,100,80,80,80,100,520,False
331,Cacnea,grass,None,4,513,50,85,40,85,40,35,335,False
332,Cacturne,grass,dark,13,774,70,115,60,115,60,55,475,False
333,Swablu,normal,flying,4,12,45,40,60,40,75,50,310,False
334,Altaria,dragon,flying,11,206,75,70,90,70,105,80,490,False
335,Zangoose,normal,None,13,403,73,115,60,60,60,90,458,False
336,Seviper,poison,None,27,525,73,100,60,100,60,65,458,False
337,Lunatone,rock,psychic,10,1680,90,55,65,95,85,70,460,False
338,Solrock,rock,psychic,12,1540,90,95,85,55,65,70,460,False
339,Barboach,water,ground,4,19,50,48,43,46,41,60,288,False
340,Whiscash,water,ground,9,236,110,78,73,76,71,60,468,False
341,Corphish,water,None,6,115,43,80,65,50,35,35,308,False
342,Crawdaunt,water,dark,11,328,63,120,85,90,55,55,468,False
343,Baltoy,ground,psychic,5,215,40,40,55,40,70,55,300,False
344,Claydol,ground,psychic,15,1080,60,70,105,70,120,75,500,False
345,Lileep,rock,grass,10,238,66,41,77,61,87,23,355,False
346,Cradily,rock,grass,15,604,86,81,97,81,107,43,495,False
347,Anorith,rock,bug,7,125,45,95,50,40,50,75,355,False
348,Armaldo,rock,bug,15,682,75,125,100,70,80,45,495,False
349,Feebas,water,None,6,74,20,15,20,10,55,80,200,False
350,Milotic,water,None,62,1620,95,60,79,100,125,81,540,False
351,Castform,normal,None,3,8,70,70,70,70,70,70,420,False
352,Kecleon,normal,None,10,220,60,90,70,60,120,40,440,False
353,Shuppet,ghost,None,6,23,44,75,35,63,33,45,295,False
354,Banette,ghost,None,11,125,64,115,65,83,63,65,455,False
355,Duskull,ghost,None,8,150,20,40,90,30,90,25,295,False
356,Dusclops,ghost,None,16,306,40,70,130,60,130,25,455,False
357,Tropius,grass,flying,20,1000,99,68,83,72,87,51,460,False
358,Chimecho,psychic,None,6,10,75,50,80,95,90,65,455,False
359,Absol,dark,None,12,470,65,130,60,75,60,75,465,False
360,Wynaut,psychic,None,6,140,95,23,48,23,48,23,260,False
361,Snorunt,ice,None,7,168,50,50,50,50,50,50,300,False
362,Glalie,ice,None,15,2565,80,80,80,80,80,80,480,False
363,Spheal,ice,water,8,395,70,40,50,55,50,25,290,False
364,Sealeo,ice,water,11,876,90,60,70,75,70,45,410,False
365,Walrein,ice,water,14,1506,110,80,90,95,90,65,530,False
366,Clamperl,water,None,4,525,35,64,85,74,55,32,345,False
367,Huntail,water,None,17,270,55,104,105,94,75,52,485,False
368,Gorebyss,water,None,18,226,55,84,105,114,75,52,485,False
369,Relicanth,water,rock,10,234,100,90,130,45,65,55,485,False
370,Luvdisc,water,None,6,87,43,30,55,40,65,97,330,False
371,Bagon,dragon,None,6,421,45,75,60,40,30,50,300,False
372,Shelgon,dragon,None,11,1105,65,95,100,60,50,50,420,False
373,Salamence,dragon,flying,15,1026,95,135,80,110,80,100,600,False
374,Beldum,steel,psychic,6,952,40,55,80,35,60,30,300,False
375,Metang,steel,psychic,12,2025,60,75,100,55,80,50,420,False
376,Metagross,steel,psychic,16,5500,80,135,130,95,90,70,600,False
377,Regirock,rock,None,17,2300,80,100,200,50,100,50,580,True
378,Regice,ice,None,18,1750,80,50,100,100,200,50,580,True
379,Registeel,steel,None,19,2050,80,75,150,75,150,50,580,True
380,Latias,dragon,psychic,14,400,80,80,90,110,130,110,600,True
381,Latios,dragon,psychic,20,600,80,90,80,130,110,110,600,True
382,Kyogre,water,None,45,3520,100,100,90,150,140,90,670,True
383,Groudon,ground,None,35,9500,100,150,140,100,90,90,670,True
384,Rayquaza,dragon,flying,70,2065,105,150,90,150,90,95,680,True
385,Jirachi,steel,psychic,3,11,100,100,100,100,100,100,600,True
386,Deoxys-Normal,psychic,None,17,608,50,150,50,150,50,150,600,True
387,Turtwig,grass,None,4,102,55,68,64,45,55,31,318,False
388,Grotle,grass,None,11,970,75,89,85,55,65,36,405,False
389,Torterra,grass,ground,22,3100,95,109,105,75,85,56,525,False
390,Chimchar,fire,None,5,62,44,58,44,58,44,61,309,False
391,Monferno,fire,fighting,9,220,64,78,52,78,52,81,405,False
392,Infernape,fire,fighting,12,550,76,104,71,104,71,108,534,False
393,Piplup,water,None,4,52,53,51,53,61,56,40,314,False
394,Prinplup,water,None,8,230,64,66,68,81,76,50,405,False
395,Empoleon,water,steel,17,845,84,86,88,111,101,60,530,False
396,Starly,normal,flying,3,20,40,55,30,30,30,60,245,False
397,Staravia,normal,flying,6,155,55,75,50,40,40,80,340,False
398,Staraptor,normal,flying,12,249,85,120,70,50,60,100,485,False
399,Bidoof,normal,None,5,200,59,45,40,35,40,31,250,False
400,Bibarel,normal,water,10,315,79,85,60,55,60,71,410,False
401,Kricketot,bug,None,3,22,37,25,41,25,41,25,194,False
402,Kricketune,bug,None,10,255,77,85,51,55,51,65,384,False
403,Shinx,electric,None,5,95,45,65,34,40,34,45,263,False
404,Luxio,electric,None,9,305,60,85,49,60,49,60,363,False
405,Luxray,electric,None,14,420,80,120,79,95,79,70,523,False
406,Budew,grass,poison,2,12,40,30,35,50,70,55,280,False
407,Roserade,grass,poison,9,145,60,70,65,125,105,90,515,False
408,Cranidos,rock,None,9,315,67,125,40,30,30,58,350,False
409,Rampardos,rock,None,16,1025,97,165,60,65,50,58,495,False
410,Shieldon,rock,steel,5,570,30,42,118,42,88,30,350,False
411,Bastiodon,rock,steel,13,1495,60,52,168,47,138,30,495,False
412,Burmy,bug,None,2,34,40,29,45,29,45,36,224,False
413,Wormadam-Plant,bug,grass,5,65,60,59,85,79,105,36,424,False
414,Mothim,bug,flying,9,233,70,94,50,94,50,66,424,False
415,Combee,bug,flying,3,55,30,30,42,30,42,70,244,False
416,Vespiquen,bug,flying,12,385,70,80,102,80,102,40,474,False
417,Pachirisu,electric,None,4,39,60,45,70,45,90,95,405,False
